time,cell_id,x,y,radius
0.51,0,-39.7847,0,5
0.51,1,-30.7022,0,5
0.51,2,-22.3733,0,5
0.51,3,-14.6077,0,5
0.51,4,-7.2124,0,5
0.51,5,0,0,5
0.51,6,7.2124,0,5
0.51,7,14.6077,0,5
0.51,8,22.3733,0,5
0.51,9,30.7022,0,5
0.51,10,39.7847,0,5
0.52,0,-39.929,0,5
0.52,1,-30.8321,0,5
0.52,2,-22.4784,0,5
0.52,3,-14.681,0,5
0.52,4,-7.24996,0,5
0.52,5,0,0,5
0.52,6,7.24996,0,5
0.52,7,14.681,0,5
0.52,8,22.4784,0,5
0.52,9,30.8321,0,5
0.52,10,39.929,0,5
0.53,0,-40.071,0,5
0.53,1,-30.96,0,5
0.53,2,-22.5817,0,5
0.53,3,-14.7532,0,5
0.53,4,-7.28696,0,5
0.53,5,0,0,5
0.53,6,7.28696,0,5
0.53,7,14.7532,0,5
0.53,8,22.5817,0,5
0.53,9,30.96,0,5
0.53,10,40.071,0,5
0.54,0,-40.2106,0,5
0.54,1,-31.0857,0,5
0.54,2,-22.6835,0,5
0.54,3,-14.8243,0,5
0.54,4,-7.32341,0,5
0.54,5,0,0,5
0.54,6,7.32341,0,5
0.54,7,14.8243,0,5
0.54,8,22.6835,0,5
0.54,9,31.0857,0,5
0.54,10,40.2106,0,5
0.55,0,-40.348,0,5
0.55,1,-31.2095,0,5
0.55,2,-22.7837,0,5
0.55,3,-14.8943,0,5
0.55,4,-7.35932,0,5
0.55,5,0,0,5
0.55,6,7.35932,0,5
0.55,7,14.8943,0,5
0.55,8,22.7837,0,5
0.55,9,31.2095,0,5
0.55,10,40.348,0,5
0.56,0,-40.4831,0,5
0.56,1,-31.3313,0,5
0.56,2,-22.8824,0,5
0.56,3,-14.9632,0,5
0.56,4,-7.3947,0,5
0.56,5,0,0,5
0.56,6,7.3947,0,5
0.56,7,14.9632,0,5
0.56,8,22.8824,0,5
0.56,9,31.3313,0,5
0.56,10,40.4831,0,5
0.57,0,-40.6161,0,5
0.57,1,-31.4512,0,5
0.57,2,-22.9795,0,5
0.57,3,-15.0312,0,5
0.57,4,-7.42955,0,5
0.57,5,0,0,5
0.57,6,7.42955,0,5
0.57,7,15.0312,0,5
0.57,8,22.9795,0,5
0.57,9,31.4512,0,5
0.57,10,40.6161,0,5
0.58,0,-40.7469,0,5
0.58,1,-31.5692,0,5
0.58,2,-23.0752,0,5
0.58,3,-15.0981,0,5
0.58,4,-7.46389,0,5
0.58,5,0,0,5
0.58,6,7.46389,0,5
0.58,7,15.0981,0,5
0.58,8,23.0752,0,5
0.58,9,31.5692,0,5
0.58,10,40.7469,0,5
0.59,0,-40.8756,0,5
0.59,1,-31.6853,0,5
0.59,2,-23.1693,0,5
0.59,3,-15.164,0,5
0.59,4,-7.49773,0,5
0.59,5,0,0,5
0.59,6,7.49773,0,5
0.59,7,15.164,0,5
0.59,8,23.1693,0,5
0.59,9,31.6853,0,5
0.59,10,40.8756,0,5
0.6,0,-41.0022,0,5
0.6,1,-31.7996,0,5
0.6,2,-23.2621,0,5
0.6,3,-15.2289,0,5
0.6,4,-7.53107,0,5
0.6,5,0,0,5
0.6,6,7.53107,0,5
0.6,7,15.2289,0,5
0.6,8,23.2621,0,5
0.6,9,31.7996,0,5
0.6,10,41.0022,0,5
0.61,0,-41.1269,0,5
0.61,1,-31.9121,0,5
0.61,2,-23.3534,0,5
0.61,3,-15.2929,0,5
0.61,4,-7.56392,0,5
0.61,5,0,0,5
0.61,6,7.56392,0,5
0.61,7,15.2929,0,5
0.61,8,23.3534,0,5
0.61,9,31.9121,0,5
0.61,10,41.1269,0,5
0.62,0,-41.2496,0,5
0.62,1,-32.0229,0,5
0.62,2,-23.4434,0,5
0.62,3,-15.3559,0,5
0.62,4,-7.5963,0,5
0.62,5,0,0,5
0.62,6,7.5963,0,5
0.62,7,15.3559,0,5
0.62,8,23.4434,0,5
0.62,9,32.0229,0,5
0.62,10,41.2496,0,5
0.63,0,-41.3703,0,5
0.63,1,-32.132,0,5
0.63,2,-23.532,0,5
0.63,3,-15.418,0,5
0.63,4,-7.6282,0,5
0.63,5,0,0,5
0.63,6,7.6282,0,5
0.63,7,15.418,0,5
0.63,8,23.532,0,5
0.63,9,32.132,0,5
0.63,10,41.3703,0,5
0.64,0,-41.4891,0,5
